Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  Disc_Loss                Disc_Acc_Expert          Disc_Acc_Agent           Disc_Stepsize            Disc_Steps               Disc_Prob                Disc_Abs_Logit           Disc_Reward_Mean         Disc_Reward_Std          Grad_Penalty             
51                       0.09508759498596192      221267                   0.0                      583.5085833629645        0.06164669904405368      0.7208822184110428       0                        0                        0.99913166               0.05                     1.3529680948704481       0.005                    0.2986679446573059       2e-05                    0.5385174430751553       -0.01200685              1.6505406                5.1108165702434505       1.0                      0.9094433254665799       1e-04                    1715                     0.2971699310071541       1.0288473379732384       0.6448770562807719       0.6704987486203512       0.17459010837054012      
52                       0.0968336288134257       225446                   0.0                      582.2125994726588        0.06165780752599518      0.7204860795043221       0                        0                        0.999114932              0.05                     1.65603976820906         0.005                    0.31689366744831204      2e-05                    0.5629844980624815       -0.47149393              1.6106182                5.073098462037366        1.0                      0.9135541819562816       1e-04                    1748                     0.2951929159838744       1.033962808474146        0.6455028355121613       0.6740032732486725       0.1729874081081814       
53                       0.09857580191559262      229626                   0.0                      582.9807718686966        0.06152304314990088      0.7202667811730254       0                        0                        0.9990982159999999       0.049999999999999996     1.5640013217926025       0.005                    0.2990843754572173       2e-05                    0.5397286854373912       0.64959687               1.9099246                5.042296592635338        1.0                      0.91167497153234         1e-04                    1781                     0.2955996099144521       1.034105243104877        0.6511165599028269       0.6681126952171326       0.17145456689776797      
54                       0.10028300291962093      233803                   0.0                      582.8437198506211        0.061354862196673285     0.7201761174435046       0                        0                        0.999081496              0.05                     1.8046338173250358       0.005                    0.29359270151083666      2e-05                    0.494912794791162        0.028452734              1.5750365                4.985697120127052        1.0                      0.9127320183648003       1e-04                    1814                     0.29503631591796875      1.0375735735652423       0.6949435671170553       0.6904349227746328       0.16747797860039604      
55                       0.10206784274843005      237981                   0.0                      582.1183498333679        0.06145558164180065      0.7200273711396407       0                        0                        0.999064788              0.05                     1.8242247179150581       0.005                    0.3183909834673007       2e-05                    0.5615310091913367       0.12945484               1.8630074                4.94344622679431         1.0                      0.9134367066200334       1e-04                    1847                     0.2963464284184003       1.0276299678918086       0.6507408022880554       0.6708806455135345       0.1650125884046458       
56                       0.10381883018546634      242158                   0.0                      582.6538017650748        0.061756406684009474     0.7199847701483711       0                        0                        0.999048076              0.05                     2.1595262978225946       0.005                    0.35019418969750404      2e-05                    0.6455910836036006       -0.38769314              2.5666142                4.891761009139244        1.0                      0.9183697844996597       1e-04                    1880                     0.29474345120516693      1.0264271052196772       0.7204086482524872       0.7015166183312734       0.16194968994217687      
57                       0.10558002471923827      246334                   0.0                      583.0180015770878        0.062071865841088376     0.7198718177818237       0                        0                        0.999031368              0.05                     2.2385253198444843       0.005                    0.38199726802607376      2e-05                    0.6322674432303756       -0.20815328              2.2117064                4.863514909840593        1.0                      0.9181349108917546       1e-04                    1913                     0.29362702128863094      1.0329346704964688       0.6313031911849976       0.6650465428829193       0.1606095607834633       
58                       0.10732789297898611      250516                   0.0                      582.0747242515789        0.06222120262986865      0.7196570861076276       0                        0                        0.9990146639999999       0.049999999999999996     1.5671825955311458       0.005                    0.3670964506454766       2e-05                    0.6506782931586107       -0.756615                1.9661067                4.835329152116873        1.0                      0.9102655275903567       1e-04                    1946                     0.29656438153199477      1.0259414634319268       0.6222432851791382       0.6630602280298868       0.1588512430287371       
59                       0.10906394223372141      254698                   0.0                      581.0504781856727        0.06222057707123117      0.7195593639524981       0                        0                        0.9989979360000001       0.05000000000000001      1.4591049167017143       0.005                    0.3087688038746516       2e-05                    0.5595930241979659       -0.79714054              1.715367                 4.792845523718632        1.0                      0.9193093656289458       1e-04                    1979                     0.29519690889300726      1.0214144388834636       0.6068888405958811       0.675233006477356        0.15708242040691953      
60                       0.11081543756855859      258880                   0.0                      580.8099568721368        0.06221803307759185      0.7197315132542568       0                        0                        0.998981208              0.05                     1.460497273132205        0.005                    0.294384697607408        2e-05                    0.49152131952966255      -0.112162784             1.6897676                4.763185905687737        1.0                      0.9225981355917575       1e-04                    2012                     0.29351953545002024      1.0238698708890663       0.5119747469822565       0.619619240363439        0.1557958053820061       
61                       0.11259307556682163      263062                   0.0                      580.1637574126659        0.06207348049589287      0.7198793960608154       0                        0                        0.9989644799999999       0.049999999999999996     1.2219717123856146       0.005                    0.3170168275634448       2e-05                    0.5205910854662458       -0.29667422              1.5759114                4.736823419127801        1.0                      0.9191919480911409       1e-04                    2045                     0.2956142762694696       1.0151744226012565       0.5919558505217234       0.649657408396403        0.1546366624157838       
62                       0.11432759198877547      267242                   0.0                      581.3066143205189        0.06178559109704432      0.7200327481729463       0                        0                        0.9989477520000001       0.05000000000000001      1.2845987112571795       0.005                    0.31097643868997693      2e-05                    0.564437985730668        -0.19896998              1.9811413                4.732920482905224        1.0                      0.9201316159180921       1e-04                    2078                     0.2936627407266636       1.0253918772996073       0.5960426926612854       0.6592717369397482       0.1557355071559097       
63                       0.11616574658287895      271423                   0.0                      580.4066752645153        0.06146559873357996      0.720248898516298        0                        0                        0.998931032              0.05                     1.4656062566985686       0.005                    0.3687502600563069       2e-05                    0.6371124022019407       0.19964083               1.572664                 4.705264235987808        1.0                      0.924242453141646        1e-04                    2111                     0.29398825192692307      1.020311394123116        0.5879839658737183       0.6479360858599345       0.1548499868373678       
